States,Fuel,Year,Value
South Australia,Natural Gas,2013,110.10
South Australia,Natural Gas,2014,99.50
South Australia,Natural Gas,2015,100.60
South Australia,Natural Gas,2016,109.60
South Australia,Natural Gas,2017,120.40
South Australia,Natural Gas,2018,108.30
South Australia,Natural Gas,2019,103.70
South Australia,Natural Gas,2020,92.50
South Australia,Electricity,2010,57.30
South Australia,Electricity,2011,55.80
South Australia,Electricity,2012,56.70
South Australia,Electricity,2013,57.40
South Australia,Electricity,2014,56.30
South Australia,Electricity,2015,57.50
South Australia,Electricity,2016,55.40
South Australia,Electricity,2017,55.50
South Australia,Electricity,2018,55.90
South Australia,Electricity,2019,56.50
South Australia,Electricity,2020,56.70
Tasmania,Aviation gasoline,2010,0.00
Tasmania,Aviation gasoline,2011,0.00
Tasmania,Aviation gasoline,2012,0.00
Tasmania,Aviation gasoline,2013,0.00
Tasmania,Aviation gasoline,2014,0.00
Tasmania,Aviation gasoline,2015,0.00
Tasmania,Aviation gasoline,2016,0.00
Tasmania,Aviation gasoline,2017,0.00
Tasmania,Aviation gasoline,2018,0.00
Tasmania,Aviation gasoline,2019,0.00
Tasmania,Aviation gasoline,2020,0.00
Tasmania,LPG,2010,1.50
Tasmania,LPG,2011,1.50
Tasmania,LPG,2012,1.30
Tasmania,LPG,2013,1.30
Tasmania,LPG,2014,1.20
Tasmania,LPG,2015,1.40
Tasmania,LPG,2016,1.40
Tasmania,LPG,2017,1.40
Tasmania,LPG,2018,1.30
Tasmania,LPG,2019,1.30
Tasmania,LPG,2020,1.30
Tasmania,Natural Gas,2010,17.70
Tasmania,Natural Gas,2011,16.20
Tasmania,Natural Gas,2012,17.70
Tasmania,Natural Gas,2013,12.40
Tasmania,Natural Gas,2014,6.60
Tasmania,Natural Gas,2015,12.90
Tasmania,Natural Gas,2016,13.20
Tasmania,Natural Gas,2017,13.90
Tasmania,Natural Gas,2018,10.60
Tasmania,Natural Gas,2019,7.40
Tasmania,Natural Gas,2020,7.30
Tasmania,Electricity,2010,45.40
Tasmania,Electricity,2011,42.30
Tasmania,Electricity,2012,42.80
Tasmania,Electricity,2013,42.60
Tasmania,Electricity,2014,42.50
Tasmania,Electricity,2015,42.70
Tasmania,Electricity,2016,42.80
Tasmania,Electricity,2017,44.40
Tasmania,Electricity,2018,43.10
Tasmania,Electricity,2019,41.70
Tasmania,Electricity,2020,42.30
Northern Territory,Aviation gasoline,2010,0.20
Northern Territory,Aviation gasoline,2011,0.30
Northern Territory,Aviation gasoline,2012,0.30
Northern Territory,Aviation gasoline,2013,0.30
Northern Territory,Aviation gasoline,2014,0.30
Northern Territory,Aviation gasoline,2015,0.30
Northern Territory,Aviation gasoline,2016,0.40
Northern Territory,Aviation gasoline,2017,0.40
Northern Territory,Aviation gasoline,2018,0.40
Northern Territory,Aviation gasoline,2019,0.30
Northern Territory,Aviation gasoline,2020,0.40
Northern Territory,LPG,2010,0.80
Northern Territory,LPG,2011,0.70
Northern Territory,LPG,2012,0.80
Northern Territory,LPG,2013,0.70
Northern Territory,LPG,2014,0.70
Northern Territory,LPG,2015,0.80
Northern Territory,LPG,2016,0.80
Northern Territory,LPG,2017,0.60
Northern Territory,LPG,2018,0.70
Northern Territory,LPG,2019,0.50
Northern Territory,LPG,2020,0.60
Northern Territory,Natural Gas,2010,44.10
Northern Territory,Natural Gas,2011,42.00
Northern Territory,Natural Gas,2012,45.30
Northern Territory,Natural Gas,2013,47.40
Northern Territory,Natural Gas,2014,44.90
Northern Territory,Natural Gas,2015,49.80
Northern Territory,Natural Gas,2016,48.10
Northern Territory,Natural Gas,2017,46.90
Northern Territory,Natural Gas,2018,86.10
Northern Territory,Natural Gas,2019,108.70
Northern Territory,Natural Gas,2020,106.10
Northern Territory,Electricity,2010,11.40
Northern Territory,Electricity,2011,11.40
Northern Territory,Electricity,2012,12.10
Northern Territory,Electricity,2013,12.50
Northern Territory,Electricity,2014,10.80
Northern Territory,Electricity,2015,11.00
Northern Territory,Electricity,2016,10.80
Northern Territory,Electricity,2017,12.60
Northern Territory,Electricity,2018,16.00
Northern Territory,Electricity,2019,18.00
Northern Territory,Electricity,2020,17.60
